Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot38,"Wilburn Mondragon",hard,3,Completed,"Container near Dorms","Container near Dorms: Objective #1","1","20:19:52","20:20:26",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","20:20:31","20:22:19",
Bot38,"Wilburn Mondragon",hard,3,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","20:22:24","20:22:44",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","20:22:49","20:23:01",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","20:23:06","20:23:31",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","20:23:36","20:23:45",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","20:23:50","20:24:00",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","20:24:05","20:24:26",
Bot38,"Wilburn Mondragon",hard,3,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","20:24:31","20:24:38",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","20:24:43","20:25:11",
Bot38,"Wilburn Mondragon",hard,3,Archived,"Bus Terminal","Bus Terminal: Objective #1","1","20:25:16","20:26:23",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","20:26:28","20:27:55",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","20:28:00","20:28:26",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","20:28:31","20:28:44",
Bot38,"Wilburn Mondragon",hard,3,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #9","1","20:28:49","20:28:58",
Bot38,"Wilburn Mondragon",hard,3,Pending,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","20:29:03","N/A",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","20:29:30","20:29:38",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #3","2","20:29:43","20:33:20",
Bot38,"Wilburn Mondragon",hard,3,Completed,"Dorms Camp 1","Dorms Camp 1: Objective #1","1","20:33:25","20:35:20",
Bot38,"Wilburn Mondragon",hard,3,Pending,"Dorms 3 Story","Dorms 3 Story: Objective #10","1","20:35:25","N/A",
Bot39,"Corey Noguera",hard,17,Pending,"Bad Rep Evidence","Item Secure Folder 0031","1","20:19:53","N/A",
Bot55,"Julius Kratochvil",hard,23,Failed,"Short Cut","Short Cut: Objective #1","1","20:25:44","20:33:11",
Bot56,"Bruce Zarate",hard,11,Completed,"Giving Tree","Giving Tree: Objective #1","1","20:25:44","20:29:43",
Bot56,"Bruce Zarate",hard,11,Completed,"Old Gas","Old Gas: Objective #1","1","20:29:49","20:30:10",
Bot56,"Bruce Zarate",hard,11,Completed,"Old Gas","Old Gas: Objective #2","1","20:30:16","20:30:27",
Bot56,"Bruce Zarate",hard,11,Active,"Short Cut","Short Cut: Objective #1","1","20:30:32","N/A",
Bot67,"Феликс Дубинин",hard,14,Completed,"Crackhouse","Crackhouse: Objective #7","1","20:28:21","20:28:45",
Bot67,"Феликс Дубинин",hard,14,Completed,"Crackhouse","Crackhouse: Objective #3","1","20:28:50","20:28:59",
Bot67,"Феликс Дубинин",hard,14,Completed,"Crackhouse","Crackhouse: Objective #4","1","20:29:05","20:29:28",
Bot67,"Феликс Дубинин",hard,14,Completed,"Crackhouse","Crackhouse: Objective #2","1","20:29:33","20:29:43",
Bot67,"Феликс Дубинин",hard,14,Completed,"Crackhouse","Crackhouse: Objective #1","1","20:29:48","20:30:20",
Bot67,"Феликс Дубинин",hard,14,Completed,"Crackhouse","Crackhouse: Objective #5","1","20:30:25","20:30:52",
Bot67,"Феликс Дубинин",hard,14,Completed,"Crackhouse","Crackhouse: Objective #6","2","20:30:57","20:31:42",
Bot67,"Феликс Дубинин",hard,14,Completed,"Warehouse 4","Warehouse 4: Objective #3","1","20:31:47","20:35:04",
Bot67,"Феликс Дубинин",hard,14,Completed,"Warehouse 4","Warehouse 4: Objective #2","1","20:35:09","20:35:22",
Bot67,"Феликс Дубинин",hard,14,Completed,"Warehouse 4","Warehouse 4: Objective #1","1","20:35:28","20:35:36",
Bot67,"Феликс Дубинин",hard,14,Pending,"Substation","Substation: Objective #4","1","20:35:41","N/A",
Bot68,"Calvin Andersen",hard,34,Failed,"Substation","Substation: Objective #6","1","20:29:30","20:29:57",
Bot72,"Quinn Ahlers",hard,11,Completed,"Dorms Camp 1","Dorms Camp 1: Objective #1","1","20:30:14","20:31:58",
Bot72,"Quinn Ahlers",hard,11,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","20:32:03","20:32:32",
Bot72,"Quinn Ahlers",hard,11,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","20:32:37","20:32:43",
Bot72,"Quinn Ahlers",hard,11,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","20:32:48","20:32:48",
Bot72,"Quinn Ahlers",hard,11,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","20:32:53","20:32:59",
Bot72,"Quinn Ahlers",hard,11,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","20:33:04","20:33:10",
Bot72,"Quinn Ahlers",hard,11,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","20:33:15","20:33:19",
Bot72,"Quinn Ahlers",hard,11,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","20:33:24","20:33:43",
Bot72,"Quinn Ahlers",hard,11,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","20:33:48","20:33:48",
Bot72,"Quinn Ahlers",hard,11,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","20:33:53","20:34:06",
Bot72,"Quinn Ahlers",hard,11,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","20:34:11","20:34:36",
Bot72,"Quinn Ahlers",hard,11,Pending,"Dorms 3 Story","Dorms 3 Story: Objective #7","2","20:34:41","N/A",
Bot78,"Макей Кручинкин",hard,24,Active,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","20:30:58","N/A",
Bot79,"Артём Дуболазов",hard,7,Failed,"Warehouse 4","Warehouse 4: Objective #3","1","20:31:01","20:34:26",
Bot79,"Артём Дуболазов",hard,7,Failed,"Warehouse 4","Warehouse 4: Objective #2","1","20:34:31","20:35:09",
Bot79,"Артём Дуболазов",hard,7,Failed,"Warehouse 4","Warehouse 4: Objective #1","1","20:35:14","20:35:14",
Bot79,"Артём Дуболазов",hard,7,Pending,"Short Cut","Short Cut: Objective #1","1","20:35:19","N/A",
Bot92,"Григорий Иноземцев",hard,29,Failed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","20:35:14","20:35:19",
